Symbol,Company name,Market cap,Beta,Price,Last annual dividend,Volume,Exchange short name
MSFT,Microsoft Corporation,3018393336800.00,0.89,$406.22,3.00,17224588.00,NASDAQ
AAPL,Apple Inc.,2636395587000.00,1.29,$170.73,0.96,75752033.00,NASDAQ
NVDA,NVIDIA Corporation,2188200000000.00,1.73,$875.28,0.16,111670623.00,NASDAQ
VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,1967259123583.00,1.01,$232.31,2.36,0.00,NASDAQ
AMZN,"Amazon.com, Inc.",1821430590000.00,1.17,$175.35,0.00,36818049.00,NASDAQ
GOOG,Alphabet Inc.,1688542996637.00,1.04,$136.29,0.00,25973143.00,NASDAQ
GOOGL,Alphabet Inc.,1688542996626.00,1.04,$135.41,0.00,39194159.00,NASDAQ
META,"Meta Platforms, Inc.",1289871627725.00,1.21,$505.95,2.00,18005420.00,NASDAQ
VFIAX,Vanguard 500 Index Fd Admiral Shs,1069588807598.00,1.00,$473.95,6.37,0.00,NASDAQ
VITSX,Vanguard Total Stock Market Index Fund,1048877465561.00,1.01,$123.86,1.26,0.00,NASDAQ
VTSAX,Vanguard Total Stock Market Index Fund,1048623448023.00,1.01,$123.83,1.25,0.00,NASDAQ
VOO,Vanguard 500 Index Fund,1034465563501.00,1.00,$470.39,6.36,6251627.00,AMEX
BRK-B,Berkshire Hathaway Inc.,873944580024.00,0.89,$403.15,0.00,3176544.00,NYSE
BRK-A,Berkshire Hathaway Inc.,872981109787.00,0.89,"$609,748.44",0.00,13449.00,NYSE
LLY,Eli Lilly and Company,724157990960.00,0.34,$762.14,5.20,4018251.00,NYSE
TSM,Taiwan Semiconductor Manufacturing Company Limited,646090685706.00,1.23,$146.37,2.05,43619437.00,NYSE
AVGO,Broadcom Inc.,606488331120.00,1.27,"$1,308.72",21.00,7382133.00,NASDAQ
NVO,Novo Nordisk A/S,595427183645.00,0.18,$133.07,1.37,12692233.00,NYSE
V,Visa Inc.,562591171608.00,0.96,$280.04,2.08,3923862.00,NYSE
TSLA,"Tesla, Inc.",558421078600.00,2.42,$175.34,0.00,84610907.00,NASDAQ
JPM,JPMorgan Chase & Co.,542143241400.00,1.13,$188.22,4.20,6131058.00,NYSE
VTI,Vanguard Total Stock Market Index Fund,527616573239.00,1.01,$254.43,3.41,3667617.00,AMEX
FXAIX,Fidelity 500 Index Fund,515222962039.00,1.00,$178.27,2.40,0.00,NASDAQ
WMT,Walmart Inc.,484133734800.00,0.50,$60.12,0.83,9881336.00,NYSE
SPY,SPDR S&P 500 ETF Trust,469693314611.00,1.00,$511.77,6.63,76720286.00,AMEX
UNH,UnitedHealth Group Incorporated,439366086380.00,0.55,$476.57,7.52,3908580.00,NYSE
MA,Mastercard Incorporated,434404774980.00,1.08,$469.26,2.64,1593593.00,NYSE
XOM,Exxon Mobil Corporation,430034499200.00,0.95,$108.38,3.80,13605219.00,NYSE
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",421491803979.00,1.00,$844.90,13.00,228912.00,EURONEXT
VXUS,Vanguard Total Intl Stock Idx Fund,402177902026.00,1.03,$60.06,1.88,4499369.00,NASDAQ
VTIAX,Vanguard Total International Stock Index Fd Admiral,401240424436.00,1.03,$32.22,1.00,0.00,NASDAQ
ASML,ASML Holding N.V.,394724293939.00,1.13,$994.33,6.64,1618721.00,NASDAQ
JNJ,Johnson & Johnson,384246990400.00,0.53,$159.52,4.76,5171252.00,NYSE
PG,The Procter & Gamble Company,377306757000.00,0.43,$160.35,3.76,4225132.00,NYSE
HD,"The Home Depot, Inc.",371581067700.00,0.99,$373.35,9.00,2159397.00,NYSE
ASML.AS,ASML Holding N.V.,366566847046.00,1.13,$923.40,7.00,576094.00,EURONEXT
CHTEX.BR,Chevron Corporation,343087513388.00,1.16,$170.32,6.04,6.00,EURONEXT
AMD,"Advanced Micro Devices, Inc.",335098688100.00,1.65,$207.39,0.00,119776397.00,NASDAQ
TM,Toyota Motor Corporation,327463735079.00,0.50,$242.82,4.01,379367.00,NYSE
COST,Costco Wholesale Corporation,321951287680.00,0.77,$725.56,4.08,8418573.00,NASDAQ
IVV,iShares Core S&P 500 ETF,319656951557.00,1.00,$514.29,6.90,4549974.00,AMEX
ABBV,AbbVie Inc.,315933159500.00,0.56,$178.85,6.20,6192392.00,NYSE
BND,Vanguard Total Bond Market Index Fund,314363623402.00,0.99,$72.86,2.34,7135837.00,NASDAQ
VBTLX,Vanguard Total Bond Market Index Fund Admiral Shares,314277330941.00,1.00,$9.60,0.13,0.00,NASDAQ
VBMPX,Vanguard Total Bond Market Idx InstlPls,314277330941.00,1.00,$9.60,0.11,0.00,NASDAQ
VBMFX,Vanguard Total Bond Market Index Fund Investor Shares,314277330941.00,1.00,$9.60,0.10,0.00,NASDAQ
MRK,"Merck & Co., Inc.",312781040000.00,0.38,$123.50,3.08,8961816.00,NYSE
ORCL,Oracle Corporation,309033586400.00,0.99,$112.42,1.60,8281266.00,NYSE
VMCPX,Vanguard Mid-Cap Index Fund Institutional Plus Shares,307131645823.00,1.04,$329.73,3.69,0.00,NASDAQ
CRM,"Salesforce, Inc.",296121600000.00,1.28,$305.28,1.60,4837739.00,NYSE
